BusinessEntityID,SalesOrderNumber,SalesOrderDetail,OrderDate,Product,ProductCategory,SalesAmount
14078,SO43697,353,5/31/2011,"Road-150 Red, 62",Bikes,4129.72
15519,SO43698,354,5/31/2011,"Mountain-100 Silver, 44",Bikes,"3,095.72"
10553,SO43699,355,5/31/2011,"Mountain-100 Silver, 44",Bikes,"2,886.05"
11211,SO43700,356,5/31/2011,"Road-650 Black, 62",Bikes,2023.32
11358,SO43701,357,5/31/2011,"Mountain-100 Silver, 44",Bikes,"4,134.25"
13514,SO43702,358,6/1/2011,"Road-150 Red, 44",Bikes,"4,113.70"
14897,SO43703,359,6/1/2011,"Road-150 Red, 62",Bikes,"3,322.33"
6990,SO43704,360,6/1/2011,"Mountain-100 Black, 48",Bikes,"1,552.56"
18258,SO43705,361,6/1/2011,"Mountain-100 Silver, 38",Bikes,"3,970.88"
4229,SO43706,362,6/2/2011,"Road-150 Red, 48",Bikes,"2,250.09"
11853,SO43707,363,6/2/2011,"Road-150 Red, 48",Bikes,"3,349.63"
9374,SO43708,364,6/2/2011,"Road-650 Red, 52",Bikes,4776.97
4916,SO43709,365,6/2/2011,"Road-150 Red, 52",Bikes,"1,988.61"
16362,SO43710,366,6/2/2011,"Road-150 Red, 56",Bikes,"3,366.94"
9351,SO43711,367,6/3/2011,"Road-150 Red, 56",Bikes,"2,850.67"
12797,SO43712,368,6/3/2011,"Road-150 Red, 44",Bikes,"2,698.06"
2835,SO43713,369,6/4/2011,"Road-150 Red, 62",Bikes,"2,922.82"
6134,SO43714,370,6/4/2011,"Road-150 Red, 44",Bikes,546.69
19122,SO43715,371,6/4/2011,"Road-150 Red, 56",Bikes,"2,788.94"
14487,SO43716,372,6/4/2011,"Road-150 Red, 44",Bikes,"2,511.67"
2789,SO43717,373,6/4/2011,"Road-650 Black, 62",Bikes,537.32
16262,SO43718,374,6/5/2011,"Road-150 Red, 44",Bikes,"2,476.31"
4819,SO43719,375,6/5/2011,"Road-150 Red, 48",Bikes,"4,849.43"
9531,SO43720,376,6/5/2011,"Road-150 Red, 44",Bikes,813.42
13076,SO43721,377,6/5/2011,"Road-150 Red, 62",Bikes,"2,581.55"
14920,SO43722,378,6/6/2011,"Road-150 Red, 48",Bikes,"4,117.15"
3679,SO43723,379,6/6/2011,"Road-650 Black, 58",Bikes,4484.86
16488,SO43724,380,6/6/2011,"Road-150 Red, 44",Bikes,243.91
14374,SO43725,381,6/7/2011,"Road-150 Red, 44",Bikes,493.28
16903,SO43726,382,6/7/2011,"Road-650 Black, 58",Bikes,4161.46
6467,SO43727,383,6/7/2011,"Road-150 Red, 44",Bikes,"4,224.72"
11549,SO43728,384,6/8/2011,"Road-150 Red, 52",Bikes,911.03
3392,SO43729,385,6/8/2011,"Mountain-100 Silver, 44",Bikes,416.07
14663,SO43730,386,6/8/2011,"Mountain-100 Silver, 44",Bikes,"2,698.88"
4984,SO43731,387,6/8/2011,"Road-150 Red, 56",Bikes,"4,431.84"
12565,SO43732,388,6/8/2011,"Mountain-100 Black, 44",Bikes,"2,401.09"
15498,SO43733,389,6/8/2011,"Road-150 Red, 48",Bikes,"3,678.24"
14154,SO43734,390,6/9/2011,"Road-150 Red, 48",Bikes,"2,320.14"
16300,SO43735,391,6/9/2011,"Road-150 Red, 62",Bikes,"3,116.26"
11269,SO43736,392,6/9/2011,"Mountain-100 Silver, 44",Bikes,"4,996.88"
20666,SO43737,393,6/10/2011,"Road-150 Red, 44",Bikes,959.66
17081,SO43738,394,6/10/2011,"Road-150 Red, 48",Bikes,"3,165.70"
20158,SO43739,395,6/10/2011,"Road-150 Red, 62",Bikes,"3,323.25"
19328,SO43740,396,6/10/2011,"Road-150 Red, 48",Bikes,"3,282.69"
4003,SO43741,397,6/11/2011,"Road-150 Red, 62",Bikes,"4,663.00"
11896,SO43742,398,6/11/2011,"Road-150 Red, 56",Bikes,502.04
3878,SO43743,399,6/11/2011,"Mountain-100 Silver, 48",Bikes,"3,776.24"
3395,SO43744,400,6/11/2011,"Road-150 Red, 52",Bikes,"2,187.51"
15940,SO43745,401,6/12/2011,"Road-150 Red, 44",Bikes,"3,584.35"
19123,SO43746,402,6/12/2011,"Road-150 Red, 48",Bikes,"4,439.81"
18154,SO43747,403,6/13/2011,"Road-150 Red, 56",Bikes,"2,700.41"
7620,SO43748,404,6/13/2011,"Road-150 Red, 52",Bikes,"1,556.97"
8825,SO43749,405,6/13/2011,"Road-150 Red, 56",Bikes,"2,057.15"
17608,SO43750,406,6/13/2011,"Road-150 Red, 44",Bikes,"1,567.44"
8368,SO43751,407,6/13/2011,"Road-150 Red, 52",Bikes,797.94
16884,SO43752,408,6/13/2011,"Road-150 Red, 44",Bikes,"3,824.57"
10375,SO43753,409,6/13/2011,"Road-150 Red, 62",Bikes,"4,689.67"
9646,SO43754,410,6/14/2011,"Road-150 Red, 48",Bikes,994.73
12715,SO43755,411,6/14/2011,"Road-150 Red, 44",Bikes,"2,991.26"
3536,SO43756,412,6/14/2011,"Road-650 Black, 58",Bikes,1466.74
2521,SO43757,413,6/14/2011,"Mountain-100 Black, 44",Bikes,"4,414.90"
5365,SO43758,414,6/15/2011,"Road-150 Red, 62",Bikes,"2,695.80"
