BusinessEntityID,Severity,IncidentDate,ClosureDate
8259,Low,8/14/2011,8/20/2011
7398,High,11/10/2012,11/12/2012
10789,Medium,8/23/2012,8/28/2012
12855,High,4/23/2012,4/26/2012
10125,Low,6/20/2011,6/24/2011
10737,High,11/19/2012,11/22/2012
9563,High,1/8/2014,1/10/2014
17108,Medium,8/19/2013,8/24/2013
12478,Low,7/7/2013,7/10/2013
15876,Low,7/21/2012,7/21/2012
9753,High,4/14/2012,4/15/2012
1667,Medium,9/6/2011,9/10/2011
16540,Medium,10/2/2013,10/7/2013
9599,Medium,8/14/2012,8/19/2012
1645,High,2/14/2013,2/20/2013
7066,High,12/2/2013,12/8/2013
17525,Low,12/4/2013,12/5/2013
2540,Medium,11/5/2013,11/6/2013
18455,High,5/31/2012,6/5/2012
17005,High,10/26/2013,10/27/2013
16761,High,8/10/2012,8/11/2012
12171,High,8/17/2012,8/21/2012
14556,Low,8/7/2012,8/8/2012
13660,Medium,9/18/2012,9/24/2012
1811,High,8/7/2013,8/12/2013
8425,High,2/4/2014,2/6/2014
13634,Medium,7/27/2013,8/1/2013
1857,Medium,4/17/2013,4/21/2013
2400,High,12/13/2013,12/17/2013
5975,High,10/28/2013,11/1/2013
9650,Low,4/2/2013,4/9/2013
9296,Medium,8/23/2013,8/28/2013
3185,Medium,10/23/2013,10/23/2013
11528,Medium,6/3/2013,6/6/2013
10587,High,10/16/2012,10/19/2012
1766,Low,6/21/2013,6/27/2013
14116,Medium,4/27/2012,4/28/2012
10054,Low,12/25/2013,12/26/2013
5527,High,11/8/2012,11/15/2012
7261,High,9/11/2013,9/13/2013
17315,High,6/12/2014,6/19/2014
10082,Medium,8/28/2012,8/30/2012
18467,Low,7/6/2011,7/6/2011
5552,Low,10/29/2012,11/5/2012
8781,Low,7/17/2012,7/22/2012
5631,High,9/27/2012,9/30/2012
18215,High,2/26/2012,2/28/2012
5011,High,10/1/2011,10/4/2011
11886,Low,9/22/2013,9/22/2013
4838,Medium,11/24/2011,11/25/2011
15945,Medium,4/13/2013,4/15/2013
16152,Low,8/15/2012,8/21/2012
8817,High,5/4/2012,5/4/2012
14804,Medium,10/31/2011,11/3/2011
1448,Medium,2/15/2013,2/22/2013
7653,Medium,11/7/2013,11/14/2013
4437,High,12/12/2011,12/18/2011
9594,Medium,11/3/2012,11/7/2012
3165,Low,5/15/2013,5/17/2013
2612,Low,12/18/2013,12/18/2013
17818,Medium,6/5/2014,6/9/2014
11189,High,2/15/2014,2/19/2014
9050,High,10/31/2013,11/1/2013
18257,Low,9/5/2012,9/11/2012
3571,High,9/18/2013,9/18/2013
4310,Medium,11/3/2012,11/5/2012
10499,Low,2/8/2014,2/13/2014
12383,High,1/11/2012,1/16/2012
7707,Low,9/4/2013,9/11/2013
6074,Medium,2/3/2014,2/4/2014
11790,High,6/9/2014,6/12/2014
865,Low,1/20/2014,1/22/2014
10943,High,10/1/2011,10/6/2011
16966,Medium,6/9/2012,6/16/2012
17176,High,7/15/2012,7/15/2012
15119,Low,9/6/2013,9/11/2013
11647,Low,12/2/2012,12/9/2012
873,Medium,11/16/2011,11/22/2011
14242,Low,10/23/2012,10/29/2012
15583,Low,4/18/2014,4/21/2014
7595,Medium,9/3/2013,9/8/2013
18046,High,4/4/2012,4/10/2012
8673,Low,5/29/2014,6/4/2014
16174,Medium,8/25/2011,8/27/2011
6592,Medium,8/20/2012,8/22/2012
7973,High,1/14/2014,1/21/2014
12242,Medium,2/11/2013,2/17/2013
15582,High,2/27/2014,2/28/2014
847,High,11/25/2013,11/27/2013
2290,Low,5/25/2014,5/26/2014
11135,Low,9/27/2012,10/4/2012
8212,Medium,12/13/2012,12/20/2012
17178,High,12/16/2012,12/22/2012
80,High,1/31/2014,1/31/2014
1993,Low,6/28/2013,7/2/2013
13971,Medium,8/22/2011,8/27/2011
15161,Medium,12/4/2012,12/8/2012
13206,Low,12/15/2011,12/22/2011
16188,High,10/30/2012,11/1/2012
1852,Low,1/28/2013,2/1/2013
17139,Medium,12/10/2012,12/15/2012
6907,High,2/18/2013,2/25/2013
1169,Low,6/2/2014,6/3/2014
4455,Low,9/1/2013,9/3/2013
4836,Low,7/31/2013,8/7/2013
15676,High,5/11/2013,5/14/2013
16986,Medium,7/6/2011,7/9/2011
9409,Medium,3/20/2012,3/24/2012
756,Low,9/25/2012,9/30/2012
5324,High,6/22/2013,6/29/2013
9812,Medium,1/27/2013,1/28/2013
536,Low,5/26/2013,5/29/2013
114,Medium,6/24/2011,6/25/2011
8102,Medium,1/17/2012,1/23/2012
16258,Low,12/19/2011,12/21/2011
11829,Low,10/7/2013,10/11/2013
17980,Medium,12/21/2012,12/28/2012
10702,Low,3/21/2014,3/28/2014
2873,Medium,10/3/2012,10/4/2012
4446,Low,8/2/2013,8/8/2013
8205,Medium,4/18/2014,4/20/2014
6936,Medium,10/13/2011,10/17/2011
8533,High,6/28/2014,6/29/2014
8954,High,7/12/2011,7/19/2011
15787,Medium,9/9/2011,9/11/2011
6904,Medium,3/10/2012,3/13/2012
16018,Medium,11/29/2012,12/3/2012
5432,Medium,3/10/2013,3/13/2013
9987,Low,12/18/2011,12/19/2011
7342,Medium,1/16/2012,1/22/2012
3558,High,8/10/2013,8/12/2013
10210,Low,4/18/2014,4/21/2014
13168,High,12/17/2011,12/22/2011
5658,High,2/29/2012,3/6/2012
